operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.53386,-58.7070124",80000,USD,1212992,80000,58,,1379.31034482759,,,,,http://san-miguel-bs-as-g-b-a-zona-norte.properati.com.ar/110h7_venta_departamentos_san-miguel_balcon_jardin_lavadero_luminoso_garage_placard_kloster-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Parque Leloir|,,,,,,,,,,,,,http://parque-leloir.properati.com.ar/11ee0_venta_casa_parque-leloir_lavadero_parrilla_piscina_quincho_luminoso_sauna_garage_amoblado_r-tavella-inmuebles_cz9
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.612338,-58.401328",75000,USD,1137180,75000,,34,,2205.88235294118,4,2,,http://balvanera.properati.com.ar/10vnl_venta_departamentos_balvanera_balcon_luminoso_re-max-city
sell,apartment,|Argentina|Capital Federal|Parque Chas|,"-34.58616,-58.475633",110000,USD,1667864,110000,,46,,2391.30434782609,2,2,,http://parque-chas.properati.com.ar/yc23_venta_departamentos_paternal_parrilla_sum_luminoso_garage_placard_estrenar_re-max-acci-oacute-n
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,105000,USD,1592052,105000,,45,,2333.33333333333,,2,,http://haedo.properati.com.ar/s5zi_venta_departamentos_moron
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|Pereyra|,,,,,,,,,,,4,,http://pereyra.properati.com.ar/118wq_venta_casa_la-plata_luminoso_re-max-sur-iii
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,110000,USD,1667864,110000,15,75,7333.33333333333,1466.66666666667,,3,,http://ramos-mejia.properati.com.ar/sbw0_venta_casa_la-matanza
sell,apartment,|Argentina|Capital Federal|Villa Pueyrredón|,"-34.5873917,-58.4893451",90000,USD,1364616,90000,50,45,1800,2000,,2,,http://villa-pueyrredon.properati.com.ar/rgmk_venta_departamentos_capital-federal
sell,PH,|Argentina|Capital Federal|Mataderos|,"-34.6565183,-58.501724",135000,USD,2046924,135000,62,58,2177.41935483871,2327.58620689655,,,,http://mataderos.properati.com.ar/11saz_venta_ph_mataderos_balcon_lavadero_parrilla_ing-e-a-villamil-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.9398620205,-57.9905428892",100000,USD,1516240,100000,65,65,1538.46153846154,1538.46153846154,,3,,http://la-plata.properati.com.ar/x1ia_venta_departamentos_la-plata
