operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6285951008,-58.5901463658",75000,USD,1137180,75000,,,,,,3,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/11e5c_venta_ph_moron_patio_adriana-nuti-estudio-inmobiliario_4sm
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6479305,-58.5695504",80000,USD,1212992,80000,,,,,,,,http://haedo.properati.com.ar/ux80_venta_departamentos_haedo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,650000,USD,9855560,650000,2000,460,325,1413.04347826087,,,,http://benavidez.properati.com.ar/n6vj_venta_casa_benavidez_0
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,395000,USD,5989148,395000,273,213,1446.88644688645,1854.46009389671,,5,4000,http://nordelta.properati.com.ar/or5t_venta_casa_nordelta
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|La Unión|,"-34.88126,-58.528405",330000,USD,5003592,330000,,216,,1527.77777777778,,6,,http://la-union-ezeiza.properati.com.ar/10oxb_venta_casa_solar-del-bosque_jardin_lavadero_piscina_quincho_vestidor_garage_re-max-alianza
sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.649984669,-58.6197898",55000,USD,833932,55000,12,12,4583.33333333333,4583.33333333333,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/uo0f_venta_local_moron
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Munro|,"-34.5194574,-58.5193983",180000,USD,2729232,180000,0,0,,,,,,http://munro.properati.com.ar/zh75_venta_ph_munro_coquimbo-cazadores-de_3200_lavadero_parrilla_quincho_toilette_bezruk-carlos
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.4552703,-58.5339861",178000,USD,2698907.2,178000,200,120,890,1483.33333333333,,4,,http://victoria.properati.com.ar/wmsu_venta_casa_victoria
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.4465229,-58.6338743",570000,USD,8642568,570000,320,320,1781.25,1781.25,,,,http://nordelta.properati.com.ar/11zeg_venta_casa_nordelta_parrilla_piscina_quincho_diaz-usandivaras-rodriguez-lascano-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,120000,USD,1819488,120000,,100,,1200,,4,,http://ramos-mejia.properati.com.ar/s6ay_venta_departamentos_la-matanza
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.5425158316,-58.4764863962",118900,USD,1802809.36,118900,,53,,2243.39622641509,203,2,,http://nunez.properati.com.ar/12sl7_venta_departamentos_nunez_vidal_4600_balcon_baulera_suite_gimnasio_lavadero_parrilla_piscina_terraza_vestidor_garage_re-max-premium
sell,apartment,|Argentina|Capital Federal|Parque Patricios|,"-34.637701,-58.4002165",55000,USD,833932,55000,22,22,2500,2500,,,,http://parque-patricios.properati.com.ar/svw9_venta_departamentos_parque-patricios
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,"-34.6644923,-58.5488929",59000,USD,894581.6,59000,42,42,1404.7619047619,1404.7619047619,3,2,,http://lomas-del-mirador.properati.com.ar/jmtv_venta_departamento_lomas-del-mirador_necochea_2700
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6899359,-58.493264",,,,,,,,,,,,http://la-matanza.properati.com.ar/12csu_venta_casa_la-matanza_balcon_baulera_suite_lavadero_parrilla_patio_quincho_terraza_garage_anzalone-propiedades_9ut
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9283734,-57.9797252",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/siyj_venta_casa_la-plata
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.59962,-58.401926",90000,USD,1364616,90000,,42,,2142.85714285714,,2,,http://recoleta.properati.com.ar/11c73_venta_departamentos_balvanera_balcon_hidromasaje_lavadero_parrilla_sum_luminoso_garage_amenities_aire-acondicionado_estrenar_re-max-central
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5775932,-58.4920075",125000,USD,1895300,125000,0,38,,3289.47368421053,,2,,http://villa-urquiza.properati.com.ar/ysc0_venta_departamentos_villa-urquiza_balcon_suite_mazur-arquitectura-inmobiliaria
sell,PH,|Argentina|Capital Federal|Parque Patricios|,"-34.6433548038,-58.4153071046",180000,USD,2729232,180000,120,100,1500,1800,,,,http://parque-patricios.properati.com.ar/12too_venta_ph_parque-patricios_patio_quincho_terraza_luminoso_garage_subte-linea-h_tierras-urbanas
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6209491,-58.442974",85000,USD,1288804,85000,38,38,2236.84210526316,2236.84210526316,5,,900,http://caballito.properati.com.ar/x4uj_venta_departamentos_caballito
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,163000,USD,2471471.2,163000,0,135,,1207.40740740741,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/y1ep_venta_casa_pilar_100_suite_gimnasio_lavadero_parrilla_piscina_sum_toilette_vestidor_tenis_amenities_estrenar_rollan-propiedades_apd
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Este|,"-34.7118674,-58.390383",80000,USD,1212992,80000,52,,1538.46153846154,,6,2,,http://lanus-este.properati.com.ar/b7c8_venta_departamento_lanus-este_gral-arias_1300
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.425087,-58.5796585",1300000,USD,19711120,1300000,450,450,2888.88888888889,2888.88888888889,,,,http://nordelta.properati.com.ar/zsxv_venta_casa_nordelta_nucifora-propiedades_crq
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Don Bosco|,"-34.7054411,-58.2935895",85000,USD,1288804,85000,,,,,,,,http://don-bosco-quilmes.properati.com.ar/e443_venta_ph_don-bosco
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5444589,-58.5424326",72000,USD,1091692.8,72000,80,70,900,1028.57142857143,,3,300,http://villa-ballester.properati.com.ar/ukzv_venta_departamentos_villa-ballester
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,385000,USD,5837524,385000,0,291,,1323.02405498282,,7,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/z42u_venta_casa_pilar_balcon_jardin_lavadero_parrilla_piscina_terraza_toilette_vestidor_luminoso_vista_dependencias_aire-acondicionado_izrastzoff-agentes-inmobiliarios
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Ciudadela|,"-34.6486062,-58.537295",570000,ARS,568417.9,37488.65,38,38,986.543421052632,15000,,,,http://ciudadela.properati.com.ar/xxfx_venta_departamentos_ciudadela_balcon_estrenar_mete-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,"-34.5583872,-58.5694056",43000,USD,651983.2,43000,40,40,1075,1075,,2,,http://general-san-martin-bs-as-g-b-a-zona-norte.properati.com.ar/x7lc_venta_departamentos_general-san-martin
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Gregorio de Laferrere|,"-34.7197742,-58.5964006",,,,,1940,540,,,,,,http://gregorio-de-laferrere.properati.com.ar/1145e_venta_casa_gregorio-de-laferrere_lujoso_germano-inmobiliaria
sell,PH,|Argentina|Capital Federal|Villa Crespo|,"-34.5961488,-58.4300627",200000,USD,3032480,200000,115,90,1739.13043478261,2222.22222222222,,3,,http://villa-crespo.properati.com.ar/y2sl_venta_ph_villa-crespo_parrilla_quincho_terraza_garage_placard_goldstein-propiedades-srl_9yp
sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6601143446,-58.6107291368",190000,USD,2880856,190000,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/zf4g_venta_local_moron_gustavo-tineo-consultora-inmobiliaria
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,1650000,USD,25017960,1650000,0,698,,2363.89684813754,,6,10000,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/11xn4_venta_casa_pilar_suite_jardin_lavadero_parrilla_piscina_vestidor_dependencias_garage_narvaez-y-cia
sell,house,|Argentina|Capital Federal|Liniers|,"-34.6456876,-58.5051531",280000,USD,4245472,280000,247,150,1133.6032388664,1866.66666666667,,,,http://liniers.properati.com.ar/ymhz_venta_casa_liniers_piscina_luminoso_garage_niro-brokers
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Valentín Alsina|,"-34.682496293,-58.3937367994",128000,USD,1940787.2,128000,300,200,426.666666666667,640,,3,,http://valentin-alsina.properati.com.ar/t2ie_venta_casa_valentin-alsina
sell,apartment,|Argentina|Capital Federal|Boedo|,"-34.6266431,-58.4241161",420000,ARS,418834.15,27623.21,,37,,11351.3513513514,,,,http://boedo.properati.com.ar/edz1_venta_departamento_boedo
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,"-34.6790103104,-58.422173953",120000,USD,1819488,120000,,,,,,,,http://lanus-oeste.properati.com.ar/xuq0_venta_ph_lanus-oeste_lavadero_patio
sell,house,|Argentina|Capital Federal|Floresta|,"-34.6454817,-58.4886442",300000,USD,4548720,300000,216,190,1388.88888888889,1578.94736842105,,5,,http://floresta.properati.com.ar/b21r_venta_casa_floresta
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,"-34.4225195,-58.5914108",135000,USD,2046924,135000,0,0,,,4,,,http://rincon-de-milberg.properati.com.ar/ws3w_venta_departamentos_rincon-de-milberg_9-de-julio_9
sell,apartment,|Argentina|Capital Federal|Belgrano|,,680000,USD,10310432,680000,265,235,2566.03773584906,2893.6170212766,,5,15000,http://belgrano.properati.com.ar/102yi_venta_departamentos_belgrano_balcon_baulera_suite_lavadero_piscina_quincho_terraza_toilette_luminoso_garage_impecable_losa-radiante_belgrano-chico-propiedades_bo4
sell,PH,|Argentina|Capital Federal|Almagro|,"-34.6187744,-58.419976",330000,USD,5003592,330000,225,150,1466.66666666667,2200,,3,,http://almagro.properati.com.ar/ubu0_venta_ph_almagro_agrelo_3800
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,218000,USD,3305403.2,218000,,,,,,,,http://nordelta.properati.com.ar/wnp1_venta_departamentos_barrioportezuelo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,360000,USD,5458464,360000,1110,231,324.324324324324,1558.44155844156,,,,http://benavidez.properati.com.ar/r8yt_venta_casa_benavidez_0
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5984405,-58.4129041",80000,USD,1212992,80000,45,45,1777.77777777778,1777.77777777778,,2,,http://palermo.properati.com.ar/10vdl_venta_departamentos_palermo_vestidor_migliorisi-propiedades_cy2
sell,apartment,|Argentina|Capital Federal|Liniers|,"-34.6438877,-58.5172492",60000,USD,909744,60000,29,28,2068.96551724138,2142.85714285714,,1,601,http://liniers.properati.com.ar/wc4h_venta_departamentos_liniers
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.576806,-58.4308",218000,USD,3305403.2,218000,,81,,2691.35802469136,4,4,,http://palermo.properati.com.ar/10u9e_venta_departamentos_palermo_santa-fe-av-_5000_toilette_luminoso_garage_alto-palermo
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.6468314,-58.3826103",40000,USD,606496,40000,29,27,1379.31034482759,1481.48148148148,,,,http://barracas.properati.com.ar/10wo1_venta_departamentos_barracas_patio_mks-propiedades_6m3
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6558345,-58.6641927",105000,USD,1592052,105000,45,45,2333.33333333333,2333.33333333333,1,2,,http://ituzaingo.properati.com.ar/xouc_venta_departamentos_ituzaingo_baulera_gimnasio_lavadero_parrilla_piscina_quincho_terraza_luminoso_lujoso_garage_aire-acondicionado
sell,PH,|Argentina|Capital Federal|Liniers|,"-34.6458728,-58.5033686",76000,USD,1152342.4,76000,39,32,1948.71794871795,2375,,1,,http://liniers.properati.com.ar/yl60_venta_ph_liniers_lavadero_patio_luminoso_mp-inmuebles
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9043707,-57.9635018",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/10c27_venta_departamentos_la-plata_balcon_lavadero_vestidor_garage_building-inmobiliaria_9yx
sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6491533,-58.6228909",500000,USD,7581200,500000,110,110,4545.45454545455,4545.45454545455,,,,http://castelar-moron.properati.com.ar/vu2i_venta_local_castelar
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4559059,-58.908329",340000,USD,5155216,340000,2126,246,159.924741298213,1382.11382113821,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/w9kq_venta_casa_pilar_pilar_100
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4235356,-58.5769233",169442,USD,2569147.38,169442,12,66,14120.1666666667,2567.30303030303,4,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/zgmj_venta_departamentos_tigre_italia_1400_baulera_suite_lavadero_parrilla_sum_vestidor_garage_mieres-tigre-centro
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Santos Lugares|,"-34.5955188,-58.5407548",130000,USD,1971112,130000,132,58,984.848484848485,2241.37931034483,,3,,http://santos-lugares.properati.com.ar/111ko_venta_departamentos_santos-lugares_jardin_lavadero_placard_pablo-yaryuya-propiedades
sell,apartment,|Argentina|Capital Federal|Centro / Microcentro|,"-34.6177615,-58.383662",102000,USD,1546564.8,102000,58,49,1758.62068965517,2081.63265306122,10,2,,http://centro-microcentro.properati.com.ar/zp88_venta_departamentos_centro-microcentro_gimnasio_lavadero_parrilla_sum_garage_nativa-propiedades
sell,PH,|Argentina|Capital Federal|Almagro|,"-34.6042938,-58.4196569",395000,USD,5989148,395000,250,200,1580,1975,,4,,http://almagro.properati.com.ar/11rfk_venta_ph_almagro_jeronimo-salguero_100_dueno-directo_ddm
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4429335,-58.5527077",170000,USD,2577608,170000,0,82,,2073.17073170732,5,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/r4mj_venta_departamentos_san-fernando_peron-presidente_1500
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5913588151,-58.3883786019",540000,USD,8187696,540000,,,,,,,12066,http://recoleta.properati.com.ar/ru72_venta_departamentos_recoleta_guido_1640
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,279000,USD,4230309.6,279000,290,160,962.068965517241,1743.75,,,,http://nordelta.properati.com.ar/nly5_venta_casa_nordelta_0
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Haras Santa Maria|,,255000,USD,3866412,255000,,200,,1275,,5,,http://haras-santa-maria.properati.com.ar/z4q7_venta_casa_haras-santa-maria_suite_piscina_terraza_toilette_vestidor_garage_impecable_aire-acondicionado_losa-radiante_re-max-lagos
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|Berazategui|,"-34.7587443,-58.2116738",45000,USD,682308,45000,40,40,1125,1125,2,1,,http://berazategui.properati.com.ar/zvhf_venta_departamentos_berazategui_inber-mendiberry
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5661178,-58.4587064",145000,USD,2198548,145000,55,55,2636.36363636364,2636.36363636364,,,1600,http://belgrano.properati.com.ar/yygj_venta_departamentos_belgrano_luminoso_federico-galceran
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Temperley|,"-34.7801436,-58.3870818",148000,USD,2244035.2,148000,140,0,1057.14285714286,,,5,1,http://temperley.properati.com.ar/102le_venta_casa_temperley_jardin_patio_ianchuk-negocios-inmobiliarios_9in
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.498586,-58.562438",450000,USD,6823080,450000,,277,,1624.54873646209,,5,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/p2ua_venta_casa_san-isidro
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5137966,-58.4747174",550000,USD,8339320,550000,230,130,2391.30434782609,4230.76923076923,5,4,,http://olivos.properati.com.ar/a5op_venta_departamento_vicente-lopez_juan-diaz-de-solis_1900
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,85000,USD,1288804,85000,,40,,2125,,2,,http://haedo.properati.com.ar/s6lf_venta_departamentos_moron
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,85000,USD,1288804,85000,,,,,,2,,http://ramos-mejia.properati.com.ar/s8gm_venta_departamentos_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,"-34.6506105,-58.5832587",47000,USD,712632.8,47000,26,23,1807.69230769231,2043.47826086956,,,,http://villa-luzuriaga.properati.com.ar/g6c0_venta_departamento_villa-luzuriaga
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,,145000,USD,2198548,145000,100,100,1450,1450,,4,,http://ituzaingo.properati.com.ar/11rfb_venta_ph_ituzaingo_paradela-inmobiliaria
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.5569856358,-58.4680478196",206000,USD,3123454.4,206000,,85,,2423.52941176471,,3,,http://nunez.properati.com.ar/wynu_venta_departamentos_capital-federal_cramer-av-_3000
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7378214,-58.2632075",,,,,230,230,,,,,,http://quilmes.properati.com.ar/12r6w_venta_casa_quilmes_o-keefe-inmobiliaria-rural-y-urbana_djq
sell,house,|Argentina|Capital Federal|Villa Pueyrredón|,"-34.5774332,-58.5095761",265000,USD,4018036,265000,340,200,779.411764705882,1325,,,,http://villa-pueyrredon.properati.com.ar/12u5i_venta_casa_villa-pueyrredon_patio_terraza_garage_quercia-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,"-34.3451368808,-58.7823486328",363000,USD,5503951.2,363000,800,260,453.75,1396.15384615385,,4,,http://escobar.properati.com.ar/11nbc_venta_casa_escobar_hidromasaje_lavadero_parrilla_piscina_luminoso_lujoso_dependencias_grondona-asociados_ah3
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.573923,-58.534861",901425,ARS,898923.04,59286.33,,33,,27315.9090909091,10,1,,http://san-martin.properati.com.ar/jcdg_venta_departamento_san-martin
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.64735794,-58.67058945",170000,USD,2577608,170000,,,,,,,,http://ituzaingo.properati.com.ar/w4vx_venta_casa_ituzaingo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,239000,USD,3623813.6,239000,,90,,2655.55555555556,,3,,http://nordelta.properati.com.ar/11boa_venta_departamentos_nordelta_balcon_suite_gimnasio_hidromasaje_parrilla_piscina_terraza_luminoso_sauna_lujoso_garage_tenis_amenities_placard_re-max-total-ii
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6754291754,-58.6254501343",68000,USD,1031043.2,68000,140,75,485.714285714286,906.666666666667,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/euas_venta_casa_moron
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,127000,USD,1925624.8,127000,70,95,1814.28571428571,1336.84210526316,,3,,http://haedo.properati.com.ar/xnk1_venta_casa_haedo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,,330000,USD,5003592,330000,,,,,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/11g8f_venta_casa_tigre_suite_hidromasaje_lavadero_parrilla_piscina_toilette_vestidor_dependencias_garage_aire-acondicionado_losa-radiante_m-m-propiedades_bhs
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,62,,,,2,,http://ramos-mejia.properati.com.ar/s5tl_venta_departamentos_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5184448,-58.4868009",130000,USD,1971112,130000,102,50,1274.50980392157,2600,,,,http://olivos.properati.com.ar/12nll_venta_departamentos_olivos_avenida-maipu_2000_klingenfuss-propiedades
sell,apartment,|Argentina|Capital Federal|,,150000,USD,2274360,150000,,78,,1923.07692307692,,3,,http://capital-federal.properati.com.ar/wgdm_venta_departamentos_capital-federal
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5156459,-58.4943373",180000,USD,2729232,180000,71,67,2535.21126760563,2686.56716417911,3,,,http://olivos.properati.com.ar/xkqx_venta_departamentos_olivos_gobernador-ugarte_1900_balcon_suite_lujoso
sell,apartment,|Argentina|Capital Federal|Abasto|,"-34.5644573375,-58.4355282151",529000,USD,8020909.6,529000,,230,,2300,1,5,,http://abasto.properati.com.ar/u2ip_venta_departamentos_abasto_del-libertador-av-_4900
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,"-34.65391541,-58.80311203",75000,USD,1137180,75000,,,,,,,,http://moreno.properati.com.ar/10f4p_venta_departamentos_moreno_de-los-inmigrantes_1600_garage_impecable_mosca-propiedades_bp3
sell,PH,|Argentina|Capital Federal|Villa Pueyrredón|,"-34.586814,-58.487241",155000,USD,2350172,155000,,52,,2980.76923076923,,3,,http://villa-pueyrredon.properati.com.ar/p8q6_venta_ph_parque-chas
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9363839,-57.9482628",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/sj1e_venta_departamentos_la-plata
sell,house,|Argentina|Capital Federal|Villa del Parque|,"-34.6121928,-58.4861933",285000,USD,4321284,285000,286,250,996.503496503497,1140,,4,,http://villa-del-parque.properati.com.ar/v0w2_venta_casa_villa-del-parque_cuenca_1900
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,,269000,USD,4078685.6,269000,,,,,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/10nru_venta_casa_tigre_suite_lavadero_parrilla_toilette_vestidor_dependencias_losa-radiante_m-m-propiedades_bhs
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6473264,-58.5903389",108000,USD,1637539.2,108000,54,50,2000,2160,1,2,,http://haedo.properati.com.ar/psag_venta_departamentos_haedo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.5073905,-58.5640576",115000,USD,1743676,115000,60,56,1916.66666666667,2053.57142857143,,,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/v527_venta_departamentos_san-isidro
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.591336,-58.390414",92000,USD,1394940.8,92000,,,,,,1,,http://recoleta.properati.com.ar/wjbr_venta_departamentos_recoleta
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,300000,USD,4548720,300000,1028,175,291.828793774319,1714.28571428571,,,,http://benavidez.properati.com.ar/n35z_venta_casa_benavidez_0
sell,PH,|Argentina|Capital Federal|Flores|,"-34.638892,-58.476122",88000,USD,1334291.2,88000,,20,,4400,,2,,http://flores.properati.com.ar/11rov_venta_ph_flores_lavadero_patio_re-max-total-iii
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5040002851,-58.4828049214",660000,USD,10007184,660000,433,284,1524.24942263279,2323.94366197183,,5,,http://olivos.properati.com.ar/x56v_venta_casa_olivos
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6173396,-58.4493817",76500,USD,1159923.6,76500,67,32,1141.79104477612,2390.625,6,1,,http://caballito.properati.com.ar/z37t_venta_departamentos_caballito_balcon_terraza_luminoso_garage_estrenar_mr-inmuebles_akd
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Isidro Casanova|,"-34.7000041,-58.5833531",180000,USD,2729232,180000,250,160,720,1125,,3,,http://isidro-casanova.properati.com.ar/yezc_venta_casa_isidro-casanova_jardin_patio_garage_russo-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,,125000,USD,1895300,125000,415,100,301.204819277108,1250,,3,,http://moron.properati.com.ar/11h97_venta_casa_moron_benozzi-propiedades
sell,apartment,|Argentina|Capital Federal|Monserrat|,"-34.6174469,-58.37527084",95000,USD,1440428,95000,,,,,,,,http://monserrat.properati.com.ar/10f2w_venta_departamentos_monserrat_baulera_canepa
sell,PH,|Argentina|Capital Federal|Colegiales|,"-34.5724516,-58.4551224",220000,USD,3335728,220000,191,114,1151.83246073298,1929.82456140351,,4,,http://colegiales.properati.com.ar/12vtc_venta_ph_colegiales_lavadero_terraza_luminoso_subte-linea-d_bonaira-propiedades
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.577384,-58.424888",267000,USD,4048360.8,267000,,51,,5235.29411764706,30,2,,http://palermo.properati.com.ar/yebx_venta_departamentos_palermo_balcon_baulera_gimnasio_piscina_sum_luminoso_sauna_barrio-norte
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|,"-34.7241401,-58.2455168",,,,,,,,,,,,http://quilmes-bs-as-g-b-a-zona-sur.properati.com.ar/ebyd_venta_departamento_quilmes
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|Hurlingham|,"-34.607231,-58.637184",120000,USD,1819488,120000,,105,,1142.85714285714,,3,,http://hurlingham.properati.com.ar/yqq1_venta_departamentos_hurlingham_patio_toilette_luminoso_lujoso_garage_placard_estrenar_re-max-bur-oacute
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,"-34.577667,-58.5331643",600000,USD,9097440,600000,750,750,800,800,,,100,http://general-san-martin-bs-as-g-b-a-zona-norte.properati.com.ar/uu98_venta_galpon_general-san-martin
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6128697,-58.4068192",75000,USD,1137180,75000,,44,,1704.54545454545,,,,http://once.properati.com.ar/eagz_venta_departamento_once
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|,"-34.4735722,-58.7109729",230000,USD,3487352,230000,620,230,370.967741935484,1000,,,,http://malvinas-argentinas-bs-as-g-b-a-zona-norte.properati.com.ar/wfvm_venta_casa_malvinas-argentinas_los-abedules_100
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5058668304,-58.4935430667",145000,USD,2198548,145000,61,61,2377.04918032787,2377.04918032787,,3,,http://olivos.properati.com.ar/10d2b_venta_departamentos_olivos_balcon_lavadero_patio_dic-propiedades_c80
